tag,scenario,mode,vision_only,audio_backend,rep,rc,seconds,started_iso,out_path
mas-nocoord-r2,audio_alarm_siren_01,mas-nocoord,False,auto,2,0,31.9,2026-08-18T17:02:38,results/run_audio_alarm_siren_01_mas-nocoord-r2.json
mas-nocoord-r3,audio_alarm_siren_01,mas-nocoord,False,auto,3,0,31.9,2026-08-18T17:03:10,results/run_audio_alarm_siren_01_mas-nocoord-r3.json
mas-nocoord-r4,audio_alarm_siren_01,mas-nocoord,False,auto,4,0,31.8,2026-08-18T17:03:42,results/run_audio_alarm_siren_01_mas-nocoord-r4.json
mas-nocoord-visiononly-r1,audio_alarm_siren_01,mas-nocoord,True,auto,1,0,8.1,2026-08-18T17:04:13,results/run_audio_alarm_siren_01_mas-nocoord-visiononly-r1.json
mas-nocoord-visiononly-r2,audio_alarm_siren_01,mas-nocoord,True,auto,2,0,8.2,2026-08-18T17:04:22,results/run_audio_alarm_siren_01_mas-nocoord-visiononly-r2.json
mas-nocoord-visiononly-r3,audio_alarm_siren_01,mas-nocoord,True,auto,3,0,8.2,2026-08-18T17:04:30,results/run_audio_alarm_siren_01_mas-nocoord-visiononly-r3.json
mas-nocoord-visiononly-r4,audio_alarm_siren_01,mas-nocoord,True,auto,4,0,8.1,2026-08-18T17:04:38,results/run_audio_alarm_siren_01_mas-nocoord-visiononly-r4.json
centralized-r1,audio_alarm_siren_01,centralized,False,auto,1,0,14.8,2026-08-18T17:04:46,results/run_audio_alarm_siren_01_centralized-r1.json
centralized-r2,audio_alarm_siren_01,centralized,False,auto,2,0,14.8,2026-08-18T17:05:01,results/run_audio_alarm_siren_01_centralized-r2.json
centralized-r3,audio_alarm_siren_01,centralized,False,auto,3,0,14.7,2026-08-18T17:05:16,results/run_audio_alarm_siren_01_centralized-r3.json
centralized-r4,audio_alarm_siren_01,centralized,False,auto,4,0,14.8,2026-08-18T17:05:30,results/run_audio_alarm_siren_01_centralized-r4.json
centralized-visiononly-r1,audio_alarm_siren_01,centralized,True,auto,1,0,8.1,2026-08-18T17:05:45,results/run_audio_alarm_siren_01_centralized-visiononly-r1.json
centralized-visiononly-r2,audio_alarm_siren_01,centralized,True,auto,2,0,8.1,2026-08-18T17:05:53,results/run_audio_alarm_siren_01_centralized-visiononly-r2.json
centralized-visiononly-r3,audio_alarm_siren_01,centralized,True,auto,3,0,8.1,2026-08-18T17:06:01,results/run_audio_alarm_siren_01_centralized-visiononly-r3.json
centralized-visiononly-r4,audio_alarm_siren_01,centralized,True,auto,4,0,8.1,2026-08-18T17:06:09,results/run_audio_alarm_siren_01_centralized-visiononly-r4.json
mas-auction-r1,audio_glass_break_01,mas-auction,False,auto,1,0,32.5,2026-08-18T17:06:18,results/run_audio_glass_break_01_mas-auction-r1.json
mas-auction-r2,audio_glass_break_01,mas-auction,False,auto,2,0,32.1,2026-08-18T17:06:50,results/run_audio_glass_break_01_mas-auction-r2.json
mas-auction-r3,audio_glass_break_01,mas-auction,False,auto,3,0,31.8,2026-08-18T17:07:22,results/run_audio_glass_break_01_mas-auction-r3.json
